Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,25,Málaga CF,Real Madrid,74,73,74,86,83,81,0.0,1.9583333333333333,1,1
2015,25,Athletic Bilbao,Real Sociedad,77,77,77,78,76,76,0.041666666666666664,0.0,0,1
2015,25,Granada CF,Valencia CF,72,74,72,81,79,77,-1.0,0.125,1,2
2015,25,Atlético Madrid,Villarreal CF,81,78,79,78,76,74,1.0,0.5,0,0
2015,26,SD Eibar,UD Las Palmas,72,72,72,73,70,67,0.24,-0.64,0,1
2015,26,Real Madrid,Atlético Madrid,86,83,81,81,78,79,1.88,0.96,0,1
2015,26,Getafe CF,Celta Vigo,72,73,69,75,74,73,-0.52,-0.24,0,1
2015,26,Sporting Gijón,Espanyol Barcelona,63,67,70,76,73,72,-0.56,-1.04,2,4
2015,26,Real Betis,Rayo Vallecano,73,71,68,75,73,75,-0.6,-0.68,2,2
2015,26,Real Sociedad,Málaga CF,78,76,76,74,73,74,0.04,0.0,1,1
2015,26,Villarreal CF,Levante UD,78,76,74,73,71,73,0.48,-0.84,3,0
2015,26,Valencia CF,Athletic Bilbao,81,79,77,77,77,77,0.16,0.0,0,3
2015,26,Deportivo La Coruña,Granada CF,71,72,72,72,74,72,0.08,-1.0,0,1
2015,26,FC Barcelona,Sevilla FC,88,85,81,79,76,77,1.88,0.4,2,1
2015,27,Atlético Madrid,Real Sociedad,81,78,79,78,76,76,0.9615384615384616,0.038461538461538464,3,0
2015,27,UD Las Palmas,Getafe CF,73,70,67,72,73,69,-0.5769230769230769,-0.5384615384615384,4,0
2015,27,Sevilla FC,SD Eibar,79,76,77,72,72,72,0.34615384615384615,0.19230769230769232,1,0
2015,27,Celta Vigo,Villarreal CF,75,74,73,78,76,74,-0.19230769230769232,0.5769230769230769,0,0
2015,27,Málaga CF,Valencia CF,74,73,74,81,79,77,0.0,0.038461538461538464,1,2
2015,27,Athletic Bilbao,Deportivo La Coruña,77,77,77,71,72,72,0.11538461538461539,0.038461538461538464,4,1
2015,27,Levante UD,Real Madrid,73,71,73,86,83,81,-0.9230769230769231,1.7692307692307692,1,3
2015,27,Granada CF,Sporting Gijón,72,74,72,63,67,70,-0.9230769230769231,-0.6153846153846154,2,0
2015,27,Espanyol Barcelona,Real Betis,76,73,72,73,71,68,-0.9230769230769231,-0.5769230769230769,0,3
2015,27,Rayo Vallecano,FC Barcelona,75,73,75,88,85,81,-0.6538461538461539,1.8461538461538463,1,5
2015,28,Real Madrid,Celta Vigo,86,83,81,75,74,73,1.7777777777777777,-0.18518518518518517,7,1
